CLUPA_POLICY_ID,PARK_ADMIN_ZONE_NAME_ENG,PARK_ADMIN_ZONE_NAME_FR,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
70666257,Northwest,Nord-ouest,2014/06/27 11:47:48+00,2020/08/17 22:01:56+00,19695
205000241,Northeast,Nord-est,2009/03/12 11:21:04+00,2020/08/17 22:01:56+00,19946
68650463,Northwest,Nord-ouest,2009/03/26 16:08:19+00,2020/08/17 22:01:56+00,19851
68650462,Northwest,Nord-ouest,2009/03/25 15:31:23+00,2020/08/17 22:01:56+00,19852
68650460,Northwest,Nord-ouest,2009/03/25 13:38:19+00,2020/08/17 22:01:56+00,19853
68650458,Northwest,Nord-ouest,2009/03/24 14:49:49+00,2020/08/17 22:01:56+00,19854
68650457,Northwest,Nord-ouest,2009/03/24 10:33:58+00,2020/08/17 22:01:56+00,19855
68650464,Northwest,Nord-ouest,2009/03/23 16:02:52+00,2020/08/17 22:01:56+00,19856
205000987,Northeast,Nord-est,2006/03/27 11:45:00+00,2013/06/28 22:42:35+00,12577
205000941,Northeast,Nord-est,2006/03/27 11:45:00+00,2013/09/20 23:12:35+00,13467
111871737,Northwest,Nord-ouest,2016/03/22 14:15:47+00,2017/07/17 23:02:15+00,17429
70225562,Southwest,Sud-ouest,2010/07/09 11:06:30+00,2017/03/03 10:37:15+00,17189
205001070,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17430
205001179,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17431
205000901,Northeast,Nord-est,2014/08/04 19:06:50+00,2020/08/12 21:51:56+00,19334
115021515,Southwest,Sud-ouest,2018/02/28 16:17:49+00,2018/08/08 23:02:15+00,17909
71128707,Southwest,Sud-ouest,2011/04/18 10:56:07+00,2018/08/10 22:17:15+00,17949
205001041,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18129
205001045,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18130
205001040,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18131
205001218,Southeast,Sud-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18132
205001215,Central,Centre,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18133
205001046,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18134
205001029,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18135
205001096,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17433
205001121,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17434
205001208,Southeast,Sud-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18136
205001042,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18137
205001114,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17435
205000219,Northeast,Nord-est,2009/03/12 09:16:05+00,2020/05/28 22:22:15+00,18810
205001009,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/09/17 22:22:15+00,18138
205001137,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17438
205000718,Northeast,Nord-est,2014/07/22 13:57:02+00,2020/08/12 21:51:56+00,19338
